country,currency_name,continent,neighbours,timestamp
Finland,Euro,EU,"Norway, Russia, Sweden",2024-08-31 15:48:25
France,Euro,EU,"Switzerland, Germany, Belgium, Luxembourg, Italy, Andorra, Monaco, Spain",2024-08-31 15:48:25
French Guiana,Euro,SA,"Suriname, Brazil",2024-08-31 15:48:26
French Polynesia,Franc,OC,,2024-08-31 15:48:26
French Southern Territories,Euro,AN,,2024-08-31 15:48:26
Gabon,Franc,AF,"Cameroon, Equatorial Guinea, Republic of the Congo",2024-08-31 15:48:26
Gambia,Dalasi,AF,Senegal,2024-08-31 15:48:26
Georgia,Lari,AS,"Armenia, Azerbaijan, Turkey, Russia",2024-08-31 15:48:27
Germany,Euro,EU,"Switzerland, Poland, Netherlands, Denmark, Belgium, Czech Republic, Luxembourg, France, Austria",2024-08-31 15:48:27
Ghana,Cedi,AF,"Ivory Coast, Togo, Burkina Faso",2024-08-31 15:48:28
Gibraltar,Pound,EU,Spain,2024-08-31 15:48:28
Greece,Euro,EU,"Albania, Macedonia, Turkey, Bulgaria",2024-08-31 15:48:28
Greenland,Krone,NA,,2024-08-31 15:48:28
Grenada,Dollar,NA,,2024-08-31 15:48:28
Guadeloupe,Euro,NA,Netherlands Antilles,2024-08-31 15:48:28
Guam,Dollar,OC,,2024-08-31 15:48:29
Guatemala,Quetzal,NA,"Mexico, Honduras, Belize, El Salvador",2024-08-31 15:48:29
Guernsey,Pound,EU,,2024-08-31 15:48:29
Guinea,Franc,AF,"Liberia, Senegal, Sierra Leone, Ivory Coast, Guinea-Bissau, Mali",2024-08-31 15:48:30
Guinea-Bissau,Franc,AF,"Senegal, Guinea",2024-08-31 15:48:30
Guyana,Dollar,SA,"Suriname, Brazil, Venezuela",2024-08-31 15:48:30
Haiti,Gourde,NA,Dominican Republic,2024-08-31 15:48:30
Heard Island and McDonald Islands,Dollar,AN,,2024-08-31 15:48:30
Honduras,Lempira,NA,"Guatemala, Nicaragua, El Salvador",2024-08-31 15:48:31
Hong Kong,Dollar,AS,,2024-08-31 15:48:31
Hungary,Forint,EU,"Slovakia, Slovenia, Romania, Ukraine, Serbia and Montenegro, Croatia, Austria, Serbia",2024-08-31 15:48:31
Iceland,Krona,EU,,2024-08-31 15:48:32
India,Rupee,AS,"China, Nepal, Myanmar, Bhutan, Pakistan, Bangladesh",2024-08-31 15:48:32
Indonesia,Rupiah,AS,"Papua New Guinea, East Timor, Malaysia",2024-08-31 15:48:32
Iran,Rial,AS,"Turkmenistan, Afghanistan, Iraq, Armenia, Pakistan, Azerbaijan, Turkey",2024-08-31 15:48:33
Iraq,Dinar,AS,"Syria, Saudi Arabia, Iran, Jordan, Turkey, Kuwait",2024-08-31 15:48:33
Ireland,Euro,EU,United Kingdom,2024-08-31 15:48:34
Isle of Man,Pound,EU,,2024-08-31 15:48:34
Israel,Shekel,AS,"Syria, Jordan, Lebanon, Egypt, Palestinian Territory",2024-08-31 15:48:34
Italy,Euro,EU,"Switzerland, Vatican, Slovenia, San Marino, France, Austria",2024-08-31 15:48:35
Ivory Coast,Franc,AF,"Liberia, Ghana, Guinea, Burkina Faso, Mali",2024-08-31 15:48:35
